Dataset,Model,Accuracy,Precision,Recall,F1-Score,CV-Acc,CV-Std,ROC-AUC
Robust (24 feat),KNN,0.8232558139534883,0.7688442211055276,0.8360655737704918,0.8010471204188482,0.82308776494823,0.020166037429493865,0.8974358974358974
Robust (24 feat),Logistic Regression,0.858139534883721,0.8144329896907216,0.8633879781420765,0.8381962864721485,0.8733636905729929,0.0126903418677297,0.9386960465476428
Robust (24 feat),Gradient Boosting,0.8534883720930233,0.8370786516853933,0.8142076502732241,0.8254847645429363,0.8556762617227733,0.018358512735852837,0.9243600805291918
Robust (24 feat),Naive Bayes,0.7651162790697674,0.6915887850467289,0.8087431693989071,0.7455919395465995,0.762105491407817,0.006923756533531517,0.8462312780690692
Interactions (7 feat),SVM (RBF),0.7395348837209302,0.6839378238341969,0.7213114754098361,0.7021276595744681,0.7481281509188485,0.010877922605850023,0.8067520630074556
Interactions (7 feat),SVM (Linear),0.7418604651162791,0.6875,0.7213114754098361,0.704,0.7537193039518622,0.011360878531231326,0.8243733545718015
Interactions (7 feat),Random Forest,0.7232558139534884,0.6702127659574468,0.6885245901639344,0.6792452830188679,0.7332097360004337,0.02723938066325996,0.8321276077962877
Interactions (7 feat),KNN,0.7255813953488373,0.6570048309178744,0.7431693989071039,0.6974358974358974,0.7127489564698867,0.018634252395564984,0.784927324616712
Interactions (7 feat),Logistic Regression,0.7418604651162791,0.6894736842105263,0.7158469945355191,0.7024128686327078,0.75371605139047,0.011617211568431015,0.8230348886086591
Interactions (7 feat),Gradient Boosting,0.7651162790697674,0.7135416666666666,0.7486338797814208,0.7306666666666667,0.7537106304548165,0.01461108277215098,0.8368620163270725
Interactions (7 feat),Naive Bayes,0.7441860465116279,0.6682027649769585,0.7923497267759563,0.725,0.7476738765110859,0.006928170902557345,0.8223048162651269
